sample_index,timestamp_ms,ppg,ecg,pcg
315,756,22358,28171,1104
316,756,22364,28177,1365
317,756,22366,28181,1527
318,756,22367,28190,1618
319,2540,22370,28195,1665
320,2540,22371,28199,1710
321,2540,22375,28210,1731
322,2540,22373,28210,1731
323,2540,22374,28218,1726
324,2540,22377,28224,1669
325,2540,22383,28227,1614
326,2540,22383,28231,1422
327,2540,22384,28235,1535
328,2540,22388,28232,1520
329,2540,22382,28228,1478
330,2540,22379,28220,1413
331,2540,22373,28213,1362
332,-839,22370,28208,1369
333,-839,22366,28200,1235
334,-839,22366,28201,1104
335,-839,22361,28195,991
336,-839,22365,28193,896
337,-839,22364,28195,790
338,1696,22362,28194,687
339,1696,22361,28193,622
340,1696,22362,28194,544
341,1696,22364,28197,471
342,1696,22363,28198,395
343,1696,22361,28198,378
344,1696,22361,28198,362
345,1696,22366,28200,333
346,1696,22364,28203,410
347,1696,22366,28206,448
348,1696,22366,28203,1263
349,1696,22368,28206,2117
350,1696,22374,28218,1660
351,-9348,22379,28227,1189
352,-9348,22370,28195,1008
353,-9348,22394,28256,1018
354,-9348,22403,28266,953
355,-9348,22415,28283,823
356,-9348,22427,28304,688
357,14548,22436,28323,551
358,14548,22448,28349,450
359,14548,22464,28374,697
360,14548,22477,28405,989
361,14548,22490,28437,1454
362,14548,22509,28462,1520
363,14548,22521,28492,1451
364,14548,22536,28523,1342
365,14548,22544,28553,1213
366,14548,22553,28568,1097
367,14548,22557,28584,947
368,14548,22564,28598,771
369,14548,22567,28607,679
370,-13801,22573,28611,496
371,-13801,22575,28619,399
372,-13801,22576,28626,269
373,-13801,22572,28625,133
374,-13801,22578,28624,0
375,-13801,22582,28626,0
376,-21871,22583,28631,0
377,-21871,22590,28636,0
378,-21871,22600,28649,0
379,-21871,22609,28661,0
380,-21871,22616,28667,0
381,-21871,22620,28676,0
382,-21871,22625,28684,0
383,-21871,22632,28694,0
384,-21871,22636,28702,0
385,-21871,22642,28709,0
386,-21871,22645,28716,0
387,-21871,22650,28722,0
388,-21871,22653,28729,0
389,-2303,22649,28733,0
390,-2303,22649,28731,0
391,-2303,22652,28731,0
392,-2303,22650,28734,0
393,-2303,22651,28737,0
394,-2303,22653,28744,0
395,-2303,22654,28754,0
396,3043,22661,28768,0
397,3043,22668,28779,0
398,3043,22671,28791,0
399,3043,22676,28804,0
400,3043,22681,28807,0
401,3043,22683,28806,0
402,3043,22683,28813,0
403,3043,22686,28813,0
404,3043,22686,28813,0
405,3043,22683,28809,0
406,3043,22680,28812,0
407,3043,22681,28809,0
408,-1389,22684,28813,0
409,-1389,22684,28815,0
410,-1389,22686,28821,0
411,-1389,22686,28828,0
412,-1389,22698,28839,0
413,-1389,22698,28849,0
414,-1389,22704,28863,0
415,-17730,22711,28878,0
416,-17730,22716,28894,0
417,-17730,22721,28906,0
418,-17730,22727,28925,0
419,-17730,22730,28931,0
420,-17730,22734,28935,0
421,-17730,22737,28944,0
422,-17730,22736,28948,0
423,-17730,22735,28954,0
424,-17730,22740,28961,0
425,-17730,22734,28959,0
426,-17730,22731,28958,0
427,-17730,22729,28957,0
428,-4976,22725,28955,0
429,-4976,22722,28953,1332
430,-4976,22719,28947,665
431,-4976,22714,28951,73
432,-4976,22714,28952,71
433,-4976,22713,28954,226
434,-1303,22706,28956,329
435,-1303,22706,28952,449
436,-1303,22704,28957,624
437,-1303,22704,28956,795
438,-1303,22709,28959,953
439,-1303,22713,28963,1093
440,-1303,22714,28960,1185
441,-1303,22720,28958,1407
442,-1303,22722,28961,1774
443,-1303,22721,28957,2098
444,-1303,22714,28952,2358
445,-1303,22719,28949,2553
446,-1303,22713,28939,2767
447,-17689,22714,28936,2963
448,-17689,22710,28930,3169
449,-17689,22708,28930,3407
450,-17689,22703,28921,3683
451,-17689,22698,28906,3887
452,-17689,22691,28895,4067
453,27435,22683,28883,4095
454,27435,22676,28868,4095
455,27435,22674,28859,4095
456,27435,22670,28847,3940
457,27435,22668,28842,3737
458,27435,22669,28842,3632
459,27435,22668,28843,3504
460,27435,22672,28845,3370
461,27435,22670,28851,3280
462,27435,22672,28855,3178
463,27435,22675,28859,3120
464,27435,22678,28863,3036
465,27435,22674,28862,2969
466,-23496,22675,28866,2886
467,-23496,22681,28866,2817
468,-23496,22680,28865,2737
469,-23496,22682,28863,2647
470,-23496,22678,28867,2544
471,-23496,22678,28868,2465
472,13826,22678,28868,2353
473,13826,22676,28866,2288
474,13826,22676,28865,2270
475,13826,22676,28863,2286
476,13826,22673,28864,2279
477,13826,22668,28860,2318
478,13826,22670,28858,2325
479,13826,22667,28851,2311
480,13826,22667,28847,2303
481,13826,22666,28846,2305
482,13826,22660,28839,2326
483,13826,22661,28835,2338
484,13826,22656,28827,2335
485,-27000,22655,28823,2301
486,-27000,22650,28826,2321
487,-27000,22654,28824,2354
488,-27000,22652,28826,2283
489,-27000,22651,28824,2242
490,-27000,22654,28821,2193
491,-27000,22648,28824,2126
492,-29548,22650,28819,2119
493,-29548,22646,28818,2084
494,-29548,22646,28814,2023
495,-29548,22646,28810,1965
496,-29548,22646,28810,1920
497,-29548,22638,28808,1917
498,-29548,22640,28807,1909
499,-29548,22638,28806,1842
500,-29548,22637,28807,1780
501,-29548,22632,28800,1715
502,-29548,22633,28801,1687
503,-29548,22634,28800,1654
504,-19987,22678,28868,1648
505,-19987,22632,28796,1586
506,-19987,22627,28795,1697
507,-19987,22629,28794,1813
508,-19987,22624,28794,2858
509,-19987,22621,28793,2723
510,-19987,22621,28788,1978
511,-1877,22616,28786,1535
512,-1877,22614,28787,1349
513,-1877,22617,28784,1397
514,-1877,22618,28784,1439
515,-1877,22614,28786,1471
516,-1877,22618,28784,1531
517,-1877,22615,28781,1535
518,-1877,22615,28780,1535
519,-1877,22611,28776,1599
520,-1877,22608,28770,1660
521,-1877,22601,28767,1722
522,-1877,22602,28762,1744
523,-1877,22603,28757,1761
524,3892,22596,28752,1757
525,3892,22597,28751,1755
526,3892,22594,28747,1782
527,3892,22592,28744,1785
528,3892,22589,28743,1801
529,3892,22583,28738,1769
530,10658,22584,28734,1744
531,10658,22577,28730,1744
532,10658,22578,28724,1713
533,10658,22572,28719,1634
534,10658,22570,28712,1523
535,10658,22567,28704,1435
536,10658,22564,28695,1334
537,10658,22564,28691,1208
538,10658,22558,28686,1089
539,10658,22558,28683,1040
540,10658,22557,28680,993
541,10658,22553,28681,994
542,10658,22553,28676,954
543,11923,22553,28676,1001
544,11923,22552,28675,1040
545,11923,22551,28675,1043
546,11923,22547,28672,1081
547,11923,22550,28671,1097
548,11923,22540,28669,1104
549,9984,22538,28672,1111
550,9984,22536,28667,1043
551,9984,22535,28659,1083
552,9984,22530,28656,1001
553,9984,22528,28649,1087
554,9984,22522,28646,1069
555,9984,22519,28643,1150
556,9984,22521,28642,1101
557,9984,22517,28641,1102
558,9984,22513,28635,1050
559,9984,22510,28633,1071
560,9984,22509,28629,1045
561,9984,22505,28626,1072
562,18862,22498,28619,1042
563,18862,22501,28615,1052
564,18862,22498,28618,1023
565,18862,22497,28617,1063
566,18862,22496,28616,1073
567,18862,22493,28611,1061
568,26781,22490,28613,1041
569,26781,22487,28608,1021
570,26781,22487,28605,1020
571,26781,22489,28602,1008
572,26781,22487,28605,1001
573,26781,22484,28604,994
574,26781,22490,28605,918
575,26781,22491,28605,1060
576,26781,22488,28609,1213
577,26781,22495,28611,1296
578,26781,22490,28613,1349
579,26781,22492,28615,1535
580,26781,22491,28618,1879
581,21424,22493,28615,3056
582,21424,22493,28615,2710
583,21424,22490,28619,1951
584,21424,22494,28623,1627
585,21424,22497,28626,1619
586,21424,22500,28627,1721
587,21424,22499,28631,1776
588,19059,22504,28635,1850
589,19059,22506,28640,1892
590,19059,22508,28643,1936
591,19059,22510,28641,1972
592,19059,22511,28646,1994
593,19059,22512,28646,2073
594,19059,22511,28646,2090
595,19059,22511,28648,2111
596,19059,22510,28649,2128
597,19059,22513,28647,2157
598,19059,22506,28647,2192
599,19059,22510,28649,2203
600,-14982,22510,28645,2218
601,-14982,22506,28645,2209
602,-14982,22505,28648,2206
603,-14982,22506,28644,2218
604,-14982,22499,28638,2218
605,-14982,22498,28630,2211
606,-14982,22494,28626,2223
607,-641,22488,28618,2159
608,-641,22485,28610,2027
609,-641,22484,28605,1899
610,-641,22477,28598,1793
611,-641,22472,28595,1727
612,-641,22472,28590,1660
613,-641,22467,28588,1600
614,-641,22463,28588,1535
615,-641,22463,28589,1487
616,-641,22467,28586,1408
617,-641,22460,28588,1360
618,-641,22459,28587,1309
619,-641,22461,28589,1303
620,5268,22467,28595,1260
621,5268,22466,28595,1232
622,5268,22470,28605,1155
623,5268,22472,28611,1210
624,5268,22482,28620,1238
625,5268,22487,28628,1330
626,19261,22493,28641,1374
627,19261,22500,28643,1393
628,19261,22503,28650,1456
629,19261,22504,28654,1495
630,19261,22511,28659,1515
631,19261,22517,28666,1525
632,19261,22519,28672,1529
633,19261,22524,28678,1535
634,19261,22525,28685,1530
635,19261,22528,28683,1530
636,19261,22530,28685,1523
637,19261,22529,28686,1388
638,19261,22527,28685,1312
639,-1372,22527,28683,1282
640,-1372,22525,28682,1287
641,-1372,22525,28685,1328
642,-1372,22526,28685,1323
643,-1372,22523,28684,1264
644,-1372,22522,28683,1225
645,-13303,22521,28682,1189
646,-13303,22520,28685,1187
647,-13303,22524,28688,1210
648,-13303,22527,28696,1184
649,-13303,22527,28696,1173
650,-13303,22528,28698,1203
651,-13303,22533,28700,1244
652,-13303,22533,28708,1278
653,-13303,22536,28714,1331
654,-13303,22539,28713,1459
655,-13303,22537,28710,1663
656,-13303,22535,28711,2137
657,-13303,22536,28716,3503
658,4855,22537,28716,2769
659,4855,22534,28712,1885
660,4855,22531,28711,1514
661,4855,22532,28713,1594
662,4855,22530,28717,1577
663,4855,22531,28715,1617
664,-11957,22527,28712,1591
665,-11957,22526,28713,1655
666,-11957,22529,28714,1680
667,-11957,22531,28714,1702
668,-11957,22528,28718,1728
669,-11957,22535,28720,1759
670,-11957,22536,28728,1765
671,-11957,22539,28733,1814
672,-11957,22543,28734,1874
673,-11957,22543,28739,1894
674,-11957,22541,28737,1926
675,-11957,22544,28741,1970
676,-11957,22544,28740,1977
677,32493,22546,28741,1990
678,32493,22545,28738,1987
679,32493,22542,28737,2014
680,32493,22539,28731,2039
681,32493,22534,28720,2045
682,32493,22526,28709,2032
683,32493,22525,28700,1991
684,-27529,22520,28696,1904
685,-27529,22518,28686,1835
686,-27529,22515,28685,1787
687,-27529,22515,28685,1744
688,-27529,22511,28683,1739
689,-27529,22512,28681,1735
690,-27529,22511,28679,1662
691,-27529,22510,28678,1629
692,-27529,22513,28684,1584
693,-27529,22510,28678,1555
694,-27529,22503,28680,1559
695,-27529,22505,28679,1569
696,-12581,22501,28678,1567
697,-12581,22499,28671,1519
698,-12581,22500,28675,1531
699,-12581,22494,28673,1535
700,-12581,22497,28673,1556
701,-12581,22497,28677,1556
702,-12581,22496,28677,1572
703,1998,22497,28680,1555
704,1998,22498,28684,1535
705,1998,22502,28680,1557
706,1998,22498,28683,1569
707,1998,22497,28681,1571
708,1998,22499,28680,1569
709,1998,22496,28680,1639
710,1998,22490,28677,1623
711,1998,22490,28678,1729
712,1998,22490,28679,1739
713,1998,22491,28682,1749
714,1998,22489,28678,1783
715,1998,22486,28680,1806
716,8591,22487,28671,1838
717,8591,22485,28673,1811
718,8591,22485,28675,1722
719,8591,22481,28676,1722
720,8591,22479,28671,1610
721,8591,22480,28674,1648
722,11160,22481,28678,1653
723,11160,22485,28684,1745
724,11160,22486,28687,1800
725,11160,22487,28690,1843
726,11160,22495,28699,1911
727,11160,22495,28699,1966
728,11160,22497,28701,1973
729,11160,22500,28708,2124
730,11160,22500,28709,2263
731,11160,22500,28707,3184
732,11160,22499,28708,3747
733,11160,22496,28706,2850
734,11160,22495,28705,2361
735,10380,22492,28699,2128
736,10380,22485,28696,2175
737,10380,22484,28695,2238
738,10380,22479,28695,2271
739,10380,22476,28687,2306
740,10380,22475,28685,2302
741,8744,22469,28686,2384
742,8744,22470,28683,2446
743,8744,22467,28681,2497
744,8744,22471,28684,2545
745,8744,22470,28684,2531
746,8744,22473,28684,2514
747,8744,22472,28687,2512
748,8744,22467,28687,2501
749,8744,22469,28688,2543
750,8744,22470,28690,2599
751,8744,22472,28686,2599
752,8744,22469,28684,2662
753,8744,22466,28681,2722
754,6749,22461,28676,2701
755,6749,22459,28669,2674
756,6749,22451,28662,2651
757,6749,22453,28657,2617
758,6749,22449,28653,2559
759,6749,22451,28651,2512
760,12146,22446,28649,2414
761,12146,22449,28647,2343
762,12146,22455,28648,2320
763,12146,22452,28649,2284
764,12146,22449,28650,2240
765,12146,22454,28653,2241
766,12146,22456,28655,2271
767,12146,22455,28663,2320
768,12146,22461,28661,2396
769,12146,22464,28667,2433
770,12146,22464,28669,2448
771,12146,22466,28675,2506
772,12146,22467,28675,2533
773,12790,22466,28677,2546
774,12790,22468,28684,2551
775,12790,22473,28690,2591
776,12790,22472,28692,2559
777,12790,22477,28700,2559
778,12790,22481,28706,2559
779,12790,22483,28710,2550
780,18395,22486,28714,2538
781,18395,22487,28712,2547
782,18395,22486,28716,2557
783,18395,22481,28709,2551
784,18395,22485,28712,2559
785,18395,22481,28709,2559
786,18395,22480,28712,2598
787,18395,22483,28713,2605
788,18395,22482,28714,2683
789,18395,22487,28721,2736
790,18395,22488,28721,2739
791,18395,22483,28718,2749
792,-22349,22484,28714,2749
793,-22349,22480,28713,2765
794,-22349,22481,28712,2750
795,-22349,22478,28713,2741
796,-22349,22479,28715,2725
797,-22349,22474,28712,2747
798,-22349,22475,28710,2763
799,-26939,22473,28707,2737
800,-26939,22470,28709,2740
801,-26939,22470,28709,2704
802,-26939,22473,28709,2666
803,-26939,22471,28715,2709
804,-26939,22475,28715,3238
805,-26939,22475,28716,4095
806,-26939,22474,28717,4095
807,-26939,22473,28716,2795
808,-26939,22471,28722,2314
809,-26939,22474,28720,2379
810,-26939,22474,28718,2349
811,-26939,22473,28719,2318
812,-21099,22473,28723,2299
813,-21099,22467,28721,2300
814,-21099,22464,28716,2327
815,-21099,22464,28718,2342
816,-21099,22464,28716,2317
817,-21099,22463,28717,2270
818,-6693,22459,28718,2211
819,-6693,22462,28716,2155
820,-6693,22464,28718,2125
821,-6693,22465,28724,2132
822,-6693,22471,28726,2115
823,-6693,22469,28730,2090
824,-6693,22476,28735,2059
825,-6693,22480,28741,2046
826,-6693,22479,28736,2074
827,-6693,22478,28734,2047
828,-6693,22473,28724,2075
829,-6693,22466,28717,2067
830,-6693,22465,28706,2028
831,26424,22463,28700,1978
832,26424,22461,28698,1943
833,26424,22458,28694,1920
834,26424,22456,28692,1856
835,26424,22454,28691,1840
836,26424,22451,28686,1823
837,27204,22450,28685,1819
838,27204,22452,28688,1826
839,27204,22450,28685,1856
840,27204,22453,28687,1872
841,27204,22451,28692,1917
842,27204,22455,28691,1966
843,27204,22456,28698,1983
844,27204,22455,28696,1999
845,27204,22460,28701,2000
846,27204,22460,28705,1973
847,27204,22459,28705,1951
848,27204,22458,28703,1921
849,27204,22461,28703,1890
850,-10285,22457,28706,1857
851,-10285,22453,28708,1813
852,-10285,22458,28708,1753
853,-10285,22456,28716,1712
854,-10285,22455,28717,1728
855,-10285,22459,28711,1685
856,-1994,22455,28713,1671
857,-1994,22456,28717,1638
858,-1994,22452,28713,1562
859,-1994,22449,28708,1574
860,-1994,22451,28708,1578
861,-1994,22450,28707,1585
862,-1994,22444,28704,1597
863,-1994,22445,28702,1584
864,-1994,22444,28705,1616
865,-1994,22444,28703,1638
866,-1994,22440,28700,1654
867,-1994,22440,28698,1634
868,-1994,22438,28697,1616
869,6197,22439,28698,1611
870,6197,22433,28698,1595
871,6197,22432,28694,1647
872,6197,22433,28694,1581
873,6197,22430,28696,1535
874,6197,22427,28696,1507
875,6197,22425,28693,1493
876,-16228,22428,28690,1451
877,-16228,22424,28690,1513
878,-16228,22424,28689,1472
879,-16228,22423,28688,1414
880,-16228,22421,28693,1386
881,-16228,22418,28692,1338
882,-16228,22420,28688,1297
883,-16228,22419,28691,1235
884,-16228,22419,28690,1328
885,-16228,22416,28690,1691
886,-16228,22414,28684,2944
887,-16228,22411,28680,2467
888,-22793,22410,28686,1510
889,-22793,22409,28683,1109
890,-22793,22402,28682,1086
891,-22793,22405,28681,1168
892,-22793,22400,28679,1253
893,-22793,22402,28679,1269
894,-22793,22400,28678,1301
895,-25572,22400,28676,1346
896,-25572,22396,28675,1325
897,-25572,22396,28673,1317
898,-25572,22397,28673,1296
899,-25572,22396,28678,1252
900,-25572,22397,28680,1230
901,-25572,22400,28682,1250
902,-25572,22403,28680,1328
903,-25572,22401,28677,1309
904,-25572,22405,28680,1360
905,-25572,22398,28677,1378
906,-25572,22400,28677,1398
907,-25572,22398,28679,1425
908,-19479,22395,28673,1488
909,-19479,22395,28667,1567
910,-19479,22394,28663,1631
911,-19479,22394,28660,1667
912,-19479,22391,28653,1681
913,-19479,22391,28650,1663
914,-3784,22390,28647,1616
915,-3784,22390,28645,1577
916,-3784,22390,28640,1564
917,-3784,22387,28644,1595
918,-3784,22389,28642,1606
919,-3784,22391,28647,1636
920,-3784,22390,28647,1670
921,-3784,22392,28651,1700
922,-3784,22393,28656,1749
923,-3784,22397,28656,1776
924,-3784,22398,28660,1776
925,-3784,22400,28663,1751
926,-3784,22403,28669,1794
927,3321,22402,28669,1808
928,3321,22405,28676,1753
929,3321,22408,28674,1815
930,3321,22408,28683,1846
931,3321,22413,28684,1857
932,3321,22418,28684,1872
933,3530,22417,28693,1893
934,3530,22416,28688,1578
935,3530,22417,28691,1884
936,3530,22423,28692,1833
937,3530,22419,28694,1904
938,3530,22417,28693,1904
939,3530,22421,28692,1953
940,3530,22421,28693,1989
941,3530,22421,28693,2041
942,3530,22419,28693,2068
943,3530,22421,28692,2151
944,3530,22419,28690,2212
945,3530,22417,28686,2224
946,4586,22418,28690,2176
947,4586,22415,28690,2384
948,4586,22415,28687,2451
949,4586,22413,28687,2477
950,4586,22414,28681,2546
951,4586,22416,28684,2559
952,3589,22416,28684,2621
953,3589,22410,28681,2639
954,3589,22411,28678,2663
955,3589,22409,28677,2683
956,3589,22409,28677,2691
957,3589,22407,28678,2735
958,3589,22407,28673,2727
959,3589,22403,28669,2722
960,3589,22402,28669,2739
961,3589,22400,28665,2813
962,3589,22395,28665,2942
963,3589,22396,28660,4095
964,3589,22394,28663,4095
965,3016,22393,28662,4095
966,3016,22390,28659,2960
967,3016,22392,28657,2627
968,3016,22385,28658,2708
969,3016,22386,28650,2704
970,3016,22380,28650,2725
971,3016,22379,28643,2736
